detailedoccupation,detailedname,majorgroup,minorgroup,broadgroup,majorname,minorname,broadname
51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-0000,51-4000,51-4080,Production Occupations,Metal Workers and Plastic Workers,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
51-4111,Tool and Die Makers,51-0000,51-4000,51-4110,Production Occupations,Metal Workers and Plastic Workers,Tool and Die Makers
51-4121,"Welders, Cutters, Solderers, and Brazers",51-0000,51-4000,51-4120,Production Occupations,Metal Workers and Plastic Workers,"Welding, Soldering, and Brazing Workers"
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",51-0000,51-4000,51-4120,Production Occupations,Metal Workers and Plastic Workers,"Welding, Soldering, and Brazing Workers"
51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",51-0000,51-4000,51-4190,Production Occupations,Metal Workers and Plastic Workers,Miscellaneous Metal Workers and Plastic Workers
51-4192,"Layout Workers, Metal and Plastic",51-0000,51-4000,51-4190,Production Occupations,Metal Workers and Plastic Workers,Miscellaneous Metal Workers and Plastic Workers
51-4193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",51-0000,51-4000,51-4190,Production Occupations,Metal Workers and Plastic Workers,Miscellaneous Metal Workers and Plastic Workers
51-4194,"Tool Grinders, Filers, and Sharpeners",51-0000,51-4000,51-4190,Production Occupations,Metal Workers and Plastic Workers,Miscellaneous Metal Workers and Plastic Workers
51-4199,"Metal Workers and Plastic Workers, All Other",51-0000,51-4000,51-4190,Production Occupations,Metal Workers and Plastic Workers,Miscellaneous Metal Workers and Plastic Workers
51-5111,Prepress Technicians and Workers,51-0000,51-5100,51-5110,Production Occupations,Printing Workers,Printing Workers
51-5112,Printing Press Operators,51-0000,51-5100,51-5110,Production Occupations,Printing Workers,Printing Workers
51-5113,Print Binding and Finishing Workers,51-0000,51-5100,51-5110,Production Occupations,Printing Workers,Printing Workers
51-6011,Laundry and Dry-Cleaning Workers,51-0000,51-6000,51-6010,Production Occupations,"Textile, Apparel, and Furnishings Workers",Laundry and Dry-Cleaning Workers
51-6021,"Pressers, Textile, Garment, and Related Materials",51-0000,51-6000,51-6020,Production Occupations,"Textile, Apparel, and Furnishings Workers","Pressers, Textile, Garment, and Related Materials"
51-6031,Sewing Machine Operators,51-0000,51-6000,51-6030,Production Occupations,"Textile, Apparel, and Furnishings Workers",Sewing Machine Operators
51-6041,Shoe and Leather Workers and Repairers,51-0000,51-6000,51-6040,Production Occupations,"Textile, Apparel, and Furnishings Workers",Shoe and Leather Workers
51-6042,Shoe Machine Operators and Tenders,51-0000,51-6000,51-6040,Production Occupations,"Textile, Apparel, and Furnishings Workers",Shoe and Leather Workers
51-6051,"Sewers, Hand",51-0000,51-6000,51-6050,Production Occupations,"Textile, Apparel, and Furnishings Workers","Tailors, Dressmakers, and Sewers"
51-6052,"Tailors, Dressmakers, and Custom Sewers",51-0000,51-6000,51-6050,Production Occupations,"Textile, Apparel, and Furnishings Workers","Tailors, Dressmakers, and Sewers"
51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,51-0000,51-6000,51-6060,Production Occupations,"Textile, Apparel, and Furnishings Workers","Textile Machine Setters, Operators, and Tenders"
51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",51-0000,51-6000,51-6060,Production Occupations,"Textile, Apparel, and Furnishings Workers","Textile Machine Setters, Operators, and Tenders"
51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",51-0000,51-6000,51-6060,Production Occupations,"Textile, Apparel, and Furnishings Workers","Textile Machine Setters, Operators, and Tenders"
51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",51-0000,51-6000,51-6060,Production Occupations,"Textile, Apparel, and Furnishings Workers","Textile Machine Setters, Operators, and Tenders"
51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",51-0000,51-6000,51-6090,Production Occupations,"Textile, Apparel, and Furnishings Workers","Miscellaneous Textile, Apparel, and Furnishings Workers"
51-6092,Fabric and Apparel Patternmakers,51-0000,51-6000,51-6090,Production Occupations,"Textile, Apparel, and Furnishings Workers","Miscellaneous Textile, Apparel, and Furnishings Workers"
51-6093,Upholsterers,51-0000,51-6000,51-6090,Production Occupations,"Textile, Apparel, and Furnishings Workers","Miscellaneous Textile, Apparel, and Furnishings Workers"
51-6099,"Textile, Apparel, and Furnishings Workers, All Other",51-0000,51-6000,51-6090,Production Occupations,"Textile, Apparel, and Furnishings Workers","Miscellaneous Textile, Apparel, and Furnishings Workers"
51-7011,Cabinetmakers and Bench Carpenters,51-0000,51-7000,51-7010,Production Occupations,Woodworkers,Cabinetmakers and Bench Carpenters
51-7021,Furniture Finishers,51-0000,51-7000,51-7020,Production Occupations,Woodworkers,Furniture Finishers
51-7031,"Model Makers, Wood",51-0000,51-7000,51-7030,Production Occupations,Woodworkers,"Model Makers and Patternmakers, Wood"
51-7032,"Patternmakers, Wood",51-0000,51-7000,51-7030,Production Occupations,Woodworkers,"Model Makers and Patternmakers, Wood"
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",51-0000,51-7000,51-7040,Production Occupations,Woodworkers,"Woodworking Machine Setters, Operators, and Tenders"
51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",51-0000,51-7000,51-7040,Production Occupations,Woodworkers,"Woodworking Machine Setters, Operators, and Tenders"
51-7099,"Woodworkers, All Other",51-0000,51-7000,51-7090,Production Occupations,Woodworkers,Miscellaneous Woodworkers
51-8011,Nuclear Power Reactor Operators,51-0000,51-8000,51-8010,Production Occupations,Plant and System Operators,"Power Plant Operators, Distributors, and Dispatchers"
51-8012,Power Distributors and Dispatchers,51-0000,51-8000,51-8010,Production Occupations,Plant and System Operators,"Power Plant Operators, Distributors, and Dispatchers"
51-8013,Power Plant Operators,51-0000,51-8000,51-8010,Production Occupations,Plant and System Operators,"Power Plant Operators, Distributors, and Dispatchers"
51-8021,Stationary Engineers and Boiler Operators,51-0000,51-8000,51-8020,Production Occupations,Plant and System Operators,Stationary Engineers and Boiler Operators
51-8031,Water and Wastewater Treatment Plant and System Operators,51-0000,51-8000,51-8030,Production Occupations,Plant and System Operators,Water and Wastewater Treatment Plant and System Operators
51-8091,Chemical Plant and System Operators,51-0000,51-8000,51-8090,Production Occupations,Plant and System Operators,Miscellaneous Plant and System Operators
51-8092,Gas Plant Operators,51-0000,51-8000,51-8090,Production Occupations,Plant and System Operators,Miscellaneous Plant and System Operators
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",51-0000,51-8000,51-8090,Production Occupations,Plant and System Operators,Miscellaneous Plant and System Operators
51-8099,"Plant and System Operators, All Other",51-0000,51-8000,51-8090,Production Occupations,Plant and System Operators,Miscellaneous Plant and System Operators
51-9011,Chemical Equipment Operators and Tenders,51-0000,51-9000,51-9010,Production Occupations,Other Production Occupations,"Chemical Processing Machine Setters, Operators, and Tenders"
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",51-0000,51-9000,51-9010,Production Occupations,Other Production Occupations,"Chemical Processing Machine Setters, Operators, and Tenders"
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",51-0000,51-9000,51-9020,Production Occupations,Other Production Occupations,"Crushing, Grinding, Polishing, Mixing, and Blending Workers"
51-9022,"Grinding and Polishing Workers, Hand",51-0000,51-9000,51-9020,Production Occupations,Other Production Occupations,"Crushing, Grinding, Polishing, Mixing, and Blending Workers"
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",51-0000,51-9000,51-9020,Production Occupations,Other Production Occupations,"Crushing, Grinding, Polishing, Mixing, and Blending Workers"
51-9031,"Cutters and Trimmers, Hand",51-0000,51-9000,51-9030,Production Occupations,Other Production Occupations,Cutting Workers
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",51-0000,51-9000,51-9030,Production Occupations,Other Production Occupations,Cutting Workers
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",51-0000,51-9000,51-9040,Production Occupations,Other Production Occupations,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",51-0000,51-9000,51-9050,Production Occupations,Other Production Occupations,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",51-0000,51-9000,51-9060,Production Occupations,Other Production Occupations,"Inspectors, Testers, Sorters, Samplers, and Weighers"
51-9071,Jewelers and Precious Stone and Metal Workers,51-0000,51-9000,51-9070,Production Occupations,Other Production Occupations,Jewelers and Precious Stone and Metal Workers
51-9081,Dental Laboratory Technicians,51-0000,51-9000,51-9080,Production Occupations,Other Production Occupations,"Medical, Dental, and Ophthalmic Laboratory Technicians"
51-9082,Medical Appliance Technicians,51-0000,51-9000,51-9080,Production Occupations,Other Production Occupations,"Medical, Dental, and Ophthalmic Laboratory Technicians"
51-9083,Ophthalmic Laboratory Technicians,51-0000,51-9000,51-9080,Production Occupations,Other Production Occupations,"Medical, Dental, and Ophthalmic Laboratory Technicians"
51-9111,Packaging and Filling Machine Operators and Tenders,51-0000,51-9000,51-9110,Production Occupations,Other Production Occupations,Packaging and Filling Machine Operators and Tenders
51-9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",51-0000,51-9000,51-9120,Production Occupations,Other Production Occupations,Painting Workers
51-9122,"Painters, Transportation Equipment",51-0000,51-9000,51-9120,Production Occupations,Other Production Occupations,Painting Workers
51-9123,"Painting, Coating, and Decorating Workers",51-0000,51-9000,51-9120,Production Occupations,Other Production Occupations,Painting Workers
51-9141,Semiconductor Processors,51-0000,51-9000,51-9140,Production Occupations,Other Production Occupations,Semiconductor Processors
51-9151,Photographic Process Workers and Processing Machine Operators,51-0000,51-9000,51-9150,Production Occupations,Other Production Occupations,Photographic Process Workers and Processing Machine Operators
51-9191,Adhesive Bonding Machine Operators and Tenders,51-0000,51-9000,51-9190,Production Occupations,Other Production Occupations,Miscellaneous Production Workers
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",51-0000,51-9000,51-9190,Production Occupations,Other Production Occupations,Miscellaneous Production Workers
51-9193,Cooling and Freezing Equipment Operators and Tenders,51-0000,51-9000,51-9190,Production Occupations,Other Production Occupations,Miscellaneous Production Workers
51-9194,Etchers and Engravers,51-0000,51-9000,51-9190,Production Occupations,Other Production Occupations,Miscellaneous Production Workers
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",51-0000,51-9000,51-9190,Production Occupations,Other Production Occupations,Miscellaneous Production Workers
51-9196,"Paper Goods Machine Setters, Operators, and Tenders",51-0000,51-9000,51-9190,Production Occupations,Other Production Occupations,Miscellaneous Production Workers
51-9197,Tire Builders,51-0000,51-9000,51-9190,Production Occupations,Other Production Occupations,Miscellaneous Production Workers
51-9198,Helpers--Production Workers,51-0000,51-9000,51-9190,Production Occupations,Other Production Occupations,Miscellaneous Production Workers
51-9199,"Production Workers, All Other",51-0000,51-9000,51-9190,Production Occupations,Other Production Occupations,Miscellaneous Production Workers
53-1011,Aircraft Cargo Handling Supervisors,53-0000,53-1000,53-1010,Transportation and Material Moving Occupations,Supervisors of Transportation and Material Moving Workers,Aircraft Cargo Handling Supervisors
53-1021,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",53-0000,53-1000,53-1020,Transportation and Material Moving Occupations,Supervisors of Transportation and Material Moving Workers,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,53-0000,53-1000,53-1030,Transportation and Material Moving Occupations,Supervisors of Transportation and Material Moving Workers,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators
53-2011,"Airline Pilots, Copilots, and Flight Engineers",53-0000,53-2000,53-2010,Transportation and Material Moving Occupations,Air Transportation Workers,Aircraft Pilots and Flight Engineers
53-2012,Commercial Pilots,53-0000,53-2000,53-2010,Transportation and Material Moving Occupations,Air Transportation Workers,Aircraft Pilots and Flight Engineers
53-2021,Air Traffic Controllers,53-0000,53-2000,53-2020,Transportation and Material Moving Occupations,Air Transportation Workers,Air Traffic Controllers and Airfield Operations Specialists
53-2022,Airfield Operations Specialists,53-0000,53-2000,53-2020,Transportation and Material Moving Occupations,Air Transportation Workers,Air Traffic Controllers and Airfield Operations Specialists
53-2031,Flight Attendants,53-0000,53-2000,53-2030,Transportation and Material Moving Occupations,Air Transportation Workers,Flight Attendants
53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",53-0000,53-3000,53-3010,Transportation and Material Moving Occupations,Motor Vehicle Operators,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
53-3021,"Bus Drivers, Transit and Intercity ",53-0000,53-3000,53-3020,Transportation and Material Moving Occupations,Motor Vehicle Operators,Bus Drivers
53-3022,"Bus Drivers, School or Special Client ",53-0000,53-3000,53-3020,Transportation and Material Moving Occupations,Motor Vehicle Operators,Bus Drivers
53-3031,Driver/Sales Workers,53-0000,53-3000,53-3030,Transportation and Material Moving Occupations,Motor Vehicle Operators,Driver/Sales Workers and Truck Drivers
53-3032,Heavy and Tractor-Trailer Truck Drivers,53-0000,53-3000,53-3030,Transportation and Material Moving Occupations,Motor Vehicle Operators,Driver/Sales Workers and Truck Drivers
53-3033,Light Truck or Delivery Services Drivers,53-0000,53-3000,53-3030,Transportation and Material Moving Occupations,Motor Vehicle Operators,Driver/Sales Workers and Truck Drivers
53-3041,Taxi Drivers and Chauffeurs,53-0000,53-3000,53-3040,Transportation and Material Moving Occupations,Motor Vehicle Operators,Taxi Drivers and Chauffeurs
53-3099,"Motor Vehicle Operators, All Other",53-0000,53-3000,53-3090,Transportation and Material Moving Occupations,Motor Vehicle Operators,Miscellaneous Motor Vehicle Operators
53-4011,Locomotive Engineers,53-0000,53-4000,53-4010,Transportation and Material Moving Occupations,Rail Transportation Workers,Locomotive Engineers and Operators
53-4012,Locomotive Firers,53-0000,53-4000,53-4010,Transportation and Material Moving Occupations,Rail Transportation Workers,Locomotive Engineers and Operators
53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",53-0000,53-4000,53-4010,Transportation and Material Moving Occupations,Rail Transportation Workers,Locomotive Engineers and Operators
53-4021,"Railroad Brake, Signal, and Switch Operators",53-0000,53-4000,53-4020,Transportation and Material Moving Occupations,Rail Transportation Workers,"Railroad Brake, Signal, and Switch Operators"
53-4031,Railroad Conductors and Yardmasters,53-0000,53-4000,53-4030,Transportation and Material Moving Occupations,Rail Transportation Workers,Railroad Conductors and Yardmasters
53-4041,Subway and Streetcar Operators,53-0000,53-4000,53-4040,Transportation and Material Moving Occupations,Rail Transportation Workers,Subway and Streetcar Operators
53-4099,"Rail Transportation Workers, All Other",53-0000,53-4000,53-4090,Transportation and Material Moving Occupations,Rail Transportation Workers,Miscellaneous Rail Transportation Workers
53-5011,Sailors and Marine Oilers,53-0000,53-5000,53-5010,Transportation and Material Moving Occupations,Water Transportation Workers,Sailors and Marine Oilers
53-5021,"Captains, Mates, and Pilots of Water Vessels",53-0000,53-5000,53-5020,Transportation and Material Moving Occupations,Water Transportation Workers,Ship and Boat Captains and Operators
53-5022,Motorboat Operators,53-0000,53-5000,53-5020,Transportation and Material Moving Occupations,Water Transportation Workers,Ship and Boat Captains and Operators
53-5031,Ship Engineers,53-0000,53-5000,53-5030,Transportation and Material Moving Occupations,Water Transportation Workers,Ship Engineers
53-6011,Bridge and Lock Tenders,53-0000,53-6000,53-6010,Transportation and Material Moving Occupations,Other Transportation Workers,Bridge and Lock Tenders
53-6021,Parking Lot Attendants,53-0000,53-6000,53-6020,Transportation and Material Moving Occupations,Other Transportation Workers,Parking Lot Attendants
53-6031,Automotive and Watercraft Service Attendants,53-0000,53-6000,53-6030,Transportation and Material Moving Occupations,Other Transportation Workers,Automotive and Watercraft Service Attendants
53-6041,Traffic Technicians,53-0000,53-6000,53-6040,Transportation and Material Moving Occupations,Other Transportation Workers,Traffic Technicians
53-6051,Transportation Inspectors,53-0000,53-6000,53-6050,Transportation and Material Moving Occupations,Other Transportation Workers,Transportation Inspectors
53-6061,"Transportation Attendants, Except Flight Attendants ",53-0000,53-6000,53-6060,Transportation and Material Moving Occupations,Other Transportation Workers,"Transportation Attendants, Except Flight Attendants"
53-6099,"Transportation Workers, All Other",53-0000,53-6000,53-6090,Transportation and Material Moving Occupations,Other Transportation Workers,Miscellaneous Transportation Workers
53-7011,Conveyor Operators and Tenders,53-0000,53-7000,53-7010,Transportation and Material Moving Occupations,Material Moving Workers,Conveyor Operators and Tenders
53-7021,Crane and Tower Operators,53-0000,53-7000,53-7020,Transportation and Material Moving Occupations,Material Moving Workers,Crane and Tower Operators
53-7031,Dredge Operators,53-0000,53-7000,53-7030,Transportation and Material Moving Occupations,Material Moving Workers,"Dredge, Excavating, and Loading Machine Operators"
53-7032,Excavating and Loading Machine and Dragline Operators,53-0000,53-7000,53-7030,Transportation and Material Moving Occupations,Material Moving Workers,"Dredge, Excavating, and Loading Machine Operators"
53-7033,"Loading Machine Operators, Underground Mining",53-0000,53-7000,53-7030,Transportation and Material Moving Occupations,Material Moving Workers,"Dredge, Excavating, and Loading Machine Operators"
53-7041,Hoist and Winch Operators,53-0000,53-7000,53-7040,Transportation and Material Moving Occupations,Material Moving Workers,Hoist and Winch Operators
53-7051,Industrial Truck and Tractor Operators,53-0000,53-7000,53-7050,Transportation and Material Moving Occupations,Material Moving Workers,Industrial Truck and Tractor Operators
53-7061,Cleaners of Vehicles and Equipment,53-0000,53-7000,53-7060,Transportation and Material Moving Occupations,Material Moving Workers,"Laborers and Material Movers, Hand"
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",53-0000,53-7000,53-7060,Transportation and Material Moving Occupations,Material Moving Workers,"Laborers and Material Movers, Hand"
53-7063,Machine Feeders and Offbearers,53-0000,53-7000,53-7060,Transportation and Material Moving Occupations,Material Moving Workers,"Laborers and Material Movers, Hand"
53-7064,"Packers and Packagers, Hand",53-0000,53-7000,53-7060,Transportation and Material Moving Occupations,Material Moving Workers,"Laborers and Material Movers, Hand"
53-7071,Gas Compressor and Gas Pumping Station Operators,53-0000,53-7000,53-7070,Transportation and Material Moving Occupations,Material Moving Workers,Pumping Station Operators
53-7072,"Pump Operators, Except Wellhead Pumpers",53-0000,53-7000,53-7070,Transportation and Material Moving Occupations,Material Moving Workers,Pumping Station Operators
53-7073,Wellhead Pumpers,53-0000,53-7000,53-7070,Transportation and Material Moving Occupations,Material Moving Workers,Pumping Station Operators
53-7081,Refuse and Recyclable Material Collectors,53-0000,53-7000,53-7080,Transportation and Material Moving Occupations,Material Moving Workers,Refuse and Recyclable Material Collectors
53-7111,Mine Shuttle Car Operators,53-0000,53-7000,53-7110,Transportation and Material Moving Occupations,Material Moving Workers,Mine Shuttle Car Operators
53-7121,"Tank Car, Truck, and Ship Loaders",53-0000,53-7000,53-7120,Transportation and Material Moving Occupations,Material Moving Workers,"Tank Car, Truck, and Ship Loaders"
53-7199,"Material Moving Workers, All Other",53-0000,53-7000,53-7190,Transportation and Material Moving Occupations,Material Moving Workers,Miscellaneous Material Moving Workers
55-1011,Air Crew Officers,55-0000,55-1000,55-1010,Military Specific Occupations,Military Officer Special and Tactical Operations Leaders,Military Officer Special and Tactical Operations Leaders
55-1012,Aircraft Launch and Recovery Officers,55-0000,55-1000,55-1010,Military Specific Occupations,Military Officer Special and Tactical Operations Leaders,Military Officer Special and Tactical Operations Leaders
55-1013,Armored Assault Vehicle Officers,55-0000,55-1000,55-1010,Military Specific Occupations,Military Officer Special and Tactical Operations Leaders,Military Officer Special and Tactical Operations Leaders
55-1014,Artillery and Missile Officers,55-0000,55-1000,55-1010,Military Specific Occupations,Military Officer Special and Tactical Operations Leaders,Military Officer Special and Tactical Operations Leaders
55-1015,Command and Control Center Officers,55-0000,55-1000,55-1010,Military Specific Occupations,Military Officer Special and Tactical Operations Leaders,Military Officer Special and Tactical Operations Leaders
55-1016,Infantry Officers,55-0000,55-1000,55-1010,Military Specific Occupations,Military Officer Special and Tactical Operations Leaders,Military Officer Special and Tactical Operations Leaders
55-1017,Special Forces Officers,55-0000,55-1000,55-1010,Military Specific Occupations,Military Officer Special and Tactical Operations Leaders,Military Officer Special and Tactical Operations Leaders
55-1019,"Military Officer Special and Tactical Operations Leaders, All Other",55-0000,55-1000,55-1010,Military Specific Occupations,Military Officer Special and Tactical Operations Leaders,Military Officer Special and Tactical Operations Leaders
55-2011,First-Line Supervisors of Air Crew Members,55-0000,55-2000,55-2010,Military Specific Occupations,First-Line Enlisted Military Supervisors,First-Line Enlisted Military Supervisors
55-2012,First-Line Supervisors of Weapons Specialists/Crew Members,55-0000,55-2000,55-2010,Military Specific Occupations,First-Line Enlisted Military Supervisors,First-Line Enlisted Military Supervisors
55-2013,First-Line Supervisors of All Other Tactical Operations Specialists,55-0000,55-2000,55-2010,Military Specific Occupations,First-Line Enlisted Military Supervisors,First-Line Enlisted Military Supervisors
55-3011,Air Crew Members,55-0000,55-3000,55-3010,Military Specific Occupations,Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members,Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members
55-3012,Aircraft Launch and Recovery Specialists,55-0000,55-3000,55-3010,Military Specific Occupations,Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members,Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members
55-3013,Armored Assault Vehicle Crew Members,55-0000,55-3000,55-3010,Military Specific Occupations,Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members,Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members
55-3014,Artillery and Missile Crew Members,55-0000,55-3000,55-3010,Military Specific Occupations,Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members,Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members
55-3015,Command and Control Center Specialists,55-0000,55-3000,55-3010,Military Specific Occupations,Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members,Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members
55-3016,Infantry,55-0000,55-3000,55-3010,Military Specific Occupations,Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members,Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members
55-3017,Radar and Sonar Technicians,55-0000,55-3000,55-3010,Military Specific Occupations,Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members,Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members
55-3018,Special Forces,55-0000,55-3000,55-3010,Military Specific Occupations,Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members,Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members
55-3019,"Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other",55-0000,55-3000,55-3010,Military Specific Occupations,Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members,Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members
